date,open,high,low,close,adjclose,SMA_10,SMA_20,EMA_10,EMA_20
01_2018,259.7699890136719,274.260009765625,237.0099945068359,248.02999877929688,248.02999877929688,,,,
02_2018,241.72000122070312,255.7400054931641,224.8999938964844,246.4600067138672,246.4600067138672,,,,
03_2018,245.8600006103516,273.8500061035156,234.7599945068359,235.6499938964844,235.6499938964844,,,,
04_2018,233.9499969482422,252.8500061035156,225.44000244140625,229.4199981689453,229.4199981689453,,,,
05_2018,230.8500061035156,255.2899932861328,221.97999572753903,252.07000732421875,252.07000732421875,,,,
06_2018,254.3699951171875,271.8099975585937,242.27000427246097,242.63999938964844,242.63999938964844,,,,
07_2018,240.08999633789065,251.8000030517578,197.4600067138672,221.77000427246097,221.77000427246097,,,,
08_2018,223.2599945068359,223.94000244140625,202.77000427246097,219.02999877929688,219.02999877929688,,,,
09_2018,218.58999633789065,250.1000061035156,213.9199981689453,246.72999572753903,246.72999572753903,,,,
10_2018,247.8800048828125,252.13999938964844,208.22999572753903,223.4900054931641,223.4900054931641,236.52900085449218,,236.52900085449218,
11_2018,225.16000366210932,242.6199951171875,213.7100067138672,237.41000366210932,237.41000366210932,235.46700134277344,,236.68918318314985,
12_2018,245.1999969482422,261.5899963378906,217.6100006103516,254.27999877929688,254.27999877929688,236.2490005493164,,239.88751329154022,
01_2019,248.8500061035156,273.75,230.3300018310547,268.25,268.25,239.50900115966797,,245.04432905671473,
02_2019,269.1499938964844,286.6300048828125,264.8900146484375,275.3599853515625,275.3599853515625,244.10299987792968,,250.55626656486888,
03_2019,277.7300109863281,303.29998779296875,259.20001220703125,300.7099914550781,300.7099914550781,248.9669982910156,,259.675125635816,
04_2019,303.1099853515625,322.45001220703125,299.75,318.3999938964844,318.3999938964844,256.5429977416992,,270.352374410483,
05_2019,320.5,323.20001220703125,250.08999633789065,251.63999938964844,251.63999938964844,259.52999725341795,,266.9501244066949,
06_2019,252.5500030517578,291.75,251.1999969482422,287.8599853515625,287.8599853515625,266.41299591064455,,270.7519173057617,
07_2019,301.67999267578125,305.75,272.4100036621094,289.989990234375,289.989990234375,270.73899536132814,,274.24974874732777,
08_2019,289.1300048828125,297.82000732421875,262.5,282.6400146484375,282.6400146484375,276.6539962768555,256.5914985656738,275.77525163843865,256.5914985656738
09_2019,280.0,302.3299865722656,270.0,276.07000732421875,276.07000732421875,280.5199966430664,257.9934989929199,275.82884358130775,258.4465946379162
10_2019,278.2699890136719,294.0799865722656,267.2200012207031,292.8500061035156,292.8500061035156,284.37699737548826,260.31299896240233,278.92360040352736,261.72311001559234
11_2019,292.989990234375,325.6700134277344,292.0899963378906,316.2099914550781,316.2099914550781,289.1729965209961,264.340998840332,285.70294423108203,266.9123368193529
12_2019,317.7200012207031,331.20001220703125,303.1300048828125,316.0199890136719,316.0199890136719,293.238996887207,268.67099838256837,291.2151341915529,271.5892560759547
